Timestamp,Gender,Age,Location,Education,Access_Info,Heard_App,Use_App,ATSPPH_1,ATSPPH_2,ATSPPH_3,ATSPPH_4,ATSPPH_5,ATSPPH_6,ATSPPH_7,ATSPPH_8,ATSPPH_9,ATSPPH_10,Trust_1,Trust_2,Trust_3,Trust_4,Trust_5,Trust_6,Trust_7,Trust_8,Trust_9,Trust_10,Trust_11,Trust_12,Interest_1,Interest_2,Interest_3,Interest_4,Interest_5,Interest_6,Interest_7,Interest_8,Interest_9,Interest_10,Interest_11,Interest_12,Interest_13,Interest_14,Interest_15,Interest_16,Interest_17,Interest_18,Interest_19,Interest_20,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15
4/23/2026 8:08,Female,18,Rural,High school or lower,No,No,No,3,2,4,4,4,4,4,2,4,4,2,4,3,2,3,4,4,4,4,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,2,5,5,4,3,3,5,2,2,2,2,2,3
4/23/2026 8:21,Male,18,Rural,High school or lower,No,Yes,No,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/23/2026 8:45,Female,18,Urban,High school or lower,Yes,No,No,1,1,1,1,2,3,3,3,3,3,4,2,2,4,3,3,3,3,2,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,4,3,4,2,3,3,3,4,3,3,4,4,3,3
4/24/2026 10:51,Female,18,Urban,High school or lower,No,Yes,No,3,3,2,4,3,2,2,2,2,1,4,3,3,4,3,3,3,4,4,2,2,2,3,3,2,4,3,3,4,3,3,1,3,2,3,3,3,2,2,2,2,3,4,3,4,4,3,4,2,2,4,4,4,4,4,4,3
4/24/2026 11:32,Female,18,Rural,High school or lower,Yes,Yes,No,4,1,5,5,5,5,5,1,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/24/2026 12:32,Male,18,Urban,College or higher,Yes,Yes,Yes,5,5,4,5,5,4,5,5,4,5,5,4,4,5,4,5,4,4,5,5,4,5,5,4,4,5,4,4,5,5,5,5,4,5,4,5,5,5,4,4,4,5,5,4,4,4,4,5,5,5,4,5,4,5,5,4,5
3/16/2026 1:49,Female,19,Urban,College or higher,No,Yes,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3/16/2026 1:52,Female,19,Urban,College or higher,Yes,No,No,2,3,4,3,3,2,4,3,4,4,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,3,2,3,4,2,2,2,2,2,2,2,3,4,4,4,4,4,4,3,3,4,4,4,5,5,4,4
3/16/2026 1:52,Male,19,Urban,College or higher,Yes,No,No,4,1,5,5,4,4,5,3,2,4,3,4,3,4,4,4,4,4,3,2,3,3,3,4,4,3,3,3,4,4,3,3,3,3,3,3,4,4,4,4,3,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4
3/16/2026 2:48,Female,19,Rural,College or higher,Yes,Yes,No,2,2,4,4,4,4,3,2,3,2,3,3,3,4,3,5,3,3,3,2,3,3,4,4,2,3,1,1,3,2,2,3,4,3,2,2,2,3,3,2,2,4,5,5,4,5,5,5,4,4,5,5,5,5,5,4,4
3/16/2026 3:17,Female,19,Urban,College or higher,Yes,No,Yes,3,2,4,5,3,4,3,2,3,5,1,4,2,3,3,5,4,5,4,3,4,4,5,3,1,2,3,3,3,1,2,3,4,4,3,2,2,4,3,3,2,4,5,4,5,5,5,2,3,3,4,5,5,5,5,5,5
3/16/2026 3:47,Female,19,Urban,College or higher,Yes,Yes,No,3,2,3,4,2,1,5,3,3,4,2,4,4,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,3,3,3,3,2,2,3,3,3,3,3,2,2,2,5,4,3,5,5,5,4,3,3,5,5,5,5,4,5
3/16/2026 4:53,Male,19,Rural,College or higher,Yes,No,No,4,3,3,4,4,3,3,2,3,4,3,3,4,3,3,3,2,3,4,3,3,2,3,2,3,2,3,3,2,3,3,3,2,2,2,3,3,2,3,3,2,4,3,4,4,3,4,3,3,4,3,3,3,4,4,3,3
3/16/2026 5:43,Female,19,Urban,College or higher,Yes,No,No,3,2,4,4,4,4,4,3,3,3,2,4,3,3,4,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4
3/16/2026 5:52,Female,19,Rural,College or higher,Yes,No,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3/16/2026 9:35,Female,19,Urban,High school or lower,Yes,No,No,3,2,2,5,2,2,2,4,2,1,4,5,5,2,3,3,2,4,3,3,3,2,4,1,1,2,2,2,2,2,2,2,4,2,2,2,4,4,2,4,2,4,5,5,4,4,4,4,3,4,4,5,5,5,5,3,2
3/17/2026 7:21,Female,19,Urban,College or higher,Yes,No,No,4,2,4,5,5,4,4,2,1,4,3,4,4,3,3,2,3,2,2,2,2,2,4,4,2,4,4,4,4,4,4,5,4,5,3,4,2,2,2,2,4,4,5,5,5,5,5,4,3,3,4,5,5,5,5,5,3
3/17/2026 9:59,Female,19,Rural,College or higher,Yes,Yes,No,3,3,3,5,4,3,3,3,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,2,4,4,5,5,5,5,3,5,5,5,5,5,5,4,4
3/17/2026 10:50,Male,19,Urban,High school or lower,No,No,No,4,2,4,4,4,4,4,2,3,2,3,4,3,4,3,3,3,3,3,2,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,4
3/17/2026 21:59,Female,19,Rural,High school or lower,No,Yes,No,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3/17/2026 23:45,Female,19,Rural,High school or lower,Yes,Yes,Yes,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3/18/2026 4:41,Female,19,Rural,High school or lower,Yes,Yes,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3/18/2026 7:51,Male,19,Rural,College or higher,Yes,Yes,Yes,4,2,4,4,4,4,4,3,3,3,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,5,5,3,5,5,3,5,5,5,5,5,5,3,3,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3/18/2026 12:09,Male,19,Rural,College or higher,Yes,Yes,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3/18/2026 12:13,Male,19,Urban,College or higher,No,No,No,1,5,3,3,4,3,3,4,4,3,2,2,2,3,2,4,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4
3/18/2026 15:41,Female,19,Urban,College or higher,No,No,No,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3/19/2026 0:38,Female,19,Rural,College or higher,Yes,Yes,Yes,4,4,4,4,4,4,4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,4,3,3,4,3,3,4,3,3,3
3/25/2026 10:55,Female,19,Urban,College or higher,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1,2,4,1,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3
4/6/2026 12:50,Female,19,Urban,High school or lower,No,No,No,5,5,4,4,5,4,5,4,5,4,1,1,2,5,5,5,5,5,4,4,5,4,5,4,5,5,4,3,4,4,5,5,4,4,4,5,5,4,4,5,4,5,5,4,5,5,5,4,4,4,4,5,5,5,4,5,5
4/7/2026 6:22,Male,19,Urban,College or higher,No,Yes,No,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/7/2026 6:27,Female,19,Rural,College or higher,Yes,Yes,No,4,4,4,4,5,3,3,2,2,4,3,4,4,4,3,3,4,4,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,2,3,4,4,2,2,5,4,5,5,5,4,4,4,4,5,5,5,5,3,3
4/22/2026 12:52,Male,19,Urban,College or higher,Yes,No,No,4,4,3,4,3,4,3,3,3,3,4,4,3,3,3,3,4,4,4,3,3,4,4,4,3,4,4,3,3,3,3,4,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,4,3,3,4,4,4,4,4,3
4/22/2026 13:13,Female,19,Urban,High school or lower,No,No,No,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5
4/23/2026 4:55,Male,19,Rural,High school or lower,Yes,Yes,Yes,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,5,4,5,4,5,4,5,4,5,5,5,4,5
4/23/2026 10:57,Female,19,Urban,College or higher,Yes,No,No,3,3,4,4,3,2,3,2,2,2,4,4,4,3,3,3,4,4,3,2,1,1,1,1,2,1,1,2,2,2,3,3,4,3,2,2,1,1,2,2,3,3,4,3,4,4,4,4,3,3,4,4,3,5,5,4,4
4/24/2026 12:09,Female,19,Rural,College or higher,Yes,Yes,Yes,4,4,4,5,5,4,5,4,5,4,4,5,4,5,4,4,4,5,4,5,4,5,5,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,4,5,5,5,4,5,4,5,4,5,5,5,4,5,4,5,4,5,5
4/24/2026 12:30,Female,19,Urban,College or higher,Yes,Yes,Yes,5,4,5,5,5,4,4,5,4,5,5,4,5,4,4,4,5,4,5,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,4,4,5,5,4,5,4,5,5,5,4,5,5,4,4,4,5,5,4,5,4,5
4/24/2026 12:32,Male,19,Rural,High school or lower,Yes,Yes,No,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,4,4,4,5,4,4,5,4,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,4,4,4,4
4/24/2026 12:52,Male,19,Urban,College or higher,Yes,Yes,Yes,5,4,5,4,4,4,5,5,4,5,5,4,4,5,4,5,5,4,4,4,4,4,5,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,4,5,5,5,5,4,4,4,5,4,4,4,5,4,5,4,5,4,4
3/16/2026 3:33,Female,20,Urban,College or higher,Yes,Yes,No,3,2,4,3,4,2,4,3,3,4,4,4,4,3,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3/16/2026 3:35,Male,20,Urban,College or higher,Yes,No,No,3,4,4,4,4,4,4,3,3,4,3,4,4,3,3,4,3,3,3,1,2,2,2,3,3,4,4,4,4,4,4,2,4,3,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3/16/2026 5:10,Male,20,Urban,College or higher,Yes,Yes,No,4,2,3,2,2,2,3,1,2,3,3,3,3,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,2,3,2,3,2,2,3,3,3,2,3,4,3,4,4,5,3,4,2,4,3,4,4,4,3,3
3/16/2026 5:40,Male,20,Rural,College or higher,Yes,Yes,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3/17/2026 4:54,Male,20,Rural,College or higher,Yes,No,No,3,3,4,4,5,5,5,3,3,5,3,4,4,2,3,3,3,3,3,2,3,3,3,4,4,4,4,3,2,4,3,3,4,3,1,2,2,4,4,3,3,3,4,4,3,4,3,4,5,3,4,4,5,5,5,5,4
3/17/2026 5:13,Female,20,Urban,College or higher,Yes,Yes,No,5,1,4,5,4,4,5,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5
3/17/2026 5:17,Female,20,Rural,College or higher,Yes,No,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,2,3,2,2,3,3,2,3,2,3,2,3,4,3,3,3,2,3,5,4,3,4,4,4,3,3,4,4,4,4,4,3,3
3/17/2026 5:20,Female,20,Rural,College or higher,Yes,No,No,3,3,4,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,4,4,4,5,5,5,5,4
3/17/2026 6:49,Male,20,Urban,College or higher,No,Yes,No,3,2,4,5,4,5,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,3,2,4,2,4,4,3,5,5,5,3,4,3,3,3,3,4,5,5
3/17/2026 7:10,Female,20,Urban,College or higher,Yes,Yes,No,4,2,3,4,3,3,4,2,4,4,2,3,3,4,4,3,3,4,3,3,3,3,2,3,3,2,2,2,2,2,1,1,3,3,1,2,2,2,1,1,3,3,4,4,3,3,4,4,3,3,2,3,4,4,4,4,4
3/17/2026 7:19,Female,20,Urban,College or higher,Yes,Yes,Yes,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3/17/2026 9:01,Female,20,Urban,College or higher,Yes,Yes,No,4,2,3,4,4,3,3,2,3,4,3,4,4,3,4,4,4,4,3,3,3,4,4,4,5,5,4,4,4,4,5,5,5,5,5,3,3,4,4,4,4,3,5,5,4,5,5,5,5,5,4,5,5,5,5,3,5
3/17/2026 9:53,Female,20,Urban,College or higher,Yes,Yes,No,2,1,3,5,2,1,1,4,5,5,5,5,5,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5
3/17/2026 22:51,Male,20,Urban,College or higher,No,No,No,1,5,1,5,1,1,2,5,5,5,2,2,5,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4
3/17/2026 22:52,Male,20,Rural,College or higher,Yes,Yes,No,3,2,4,4,3,4,4,2,3,4,2,2,4,3,2,2,2,2,3,2,2,3,1,2,2,3,4,2,2,2,3,2,2,2,1,2,1,1,2,2,2,3,5,4,4,4,5,5,3,3,4,4,5,5,5,3,2
3/17/2026 23:46,Male,20,Urban,High school or lower,Yes,Yes,No,5,5,5,5,5,5,5,3,3,4,3,4,3,3,3,3,3,3,4,3,2,3,3,3,2,1,1,1,2,2,1,1,3,4,1,4,1,1,1,1,2,3,5,5,5,5,5,5,3,3,4,3,4,5,5,5,3
